"## Date taken (teagan's phone didn't have timestamps so i inferred them, may be inaccurate)",Location,Transect,Quadrat,Photographer,Percent Cover
2022:08:06 10:01:17,BT,10,1,NC,0.366226926
2022:08:06 12:01:10,BT,10,10,NC,0.14019468
2022:08:06 10:02:11,BT,10,2,NC,0.4179322
2022:08:06 10:19:37,BT,10,3,NC,0.291157356
2022:08:06 10:30:19,BT,10,4,NC,0.376530188
2022:08:06 10:41:26,BT,10,5,NC,0.400065494
2022:08:06 10:55:06,BT,10,6,NC,0.546300828
2022:08:06 11:07:44,BT,10,7,NC,0.590314577
2022:08:06 11:43:00,BT,10,8,NC,0.547135174
2022:08:06 11:44:08,BT,10,9,NC,0.388868061
2022:08:06 11:41:20,BT,11,1,NC,0.326064278
2022:08:06 14:31:42,BT,11,10,CC,0.774453333
2022:08:06 11:57:09,BT,11,2,NC,0.339673187
2022:08:06 12:11:29,BT,11,3,NC,0.344121241
2022:08:06 12:22:05,BT,11,4,NC,0.351744451
2022:08:06 13:44:12,BT,11,5,CC,0.08366551
2022:08:06 13:45:38,BT,11,6,CC,0.210849344
2022:08:06 14:05:43,BT,11,7,CC,0.367673651
2022:08:06 14:07:20,BT,11,8,CC,0.11109259
2022:08:06 14:28:32,BT,11,9,CC,0.191440737
2022:08:06 14:08:51,BT,12,1,MUC,0.193710053
2022:08:06 17:04:16,BT,12,10,MUC,0.811673263
2022:08:06 14:38:04,BT,12,2,MUC,0.462570598
2022:08:06 14:52:42,BT,12,3,MUC,0.4713855
2022:08:06 15:37:02,BT,12,4,MUC,0.657058243
2022:08:06 16:05:39,BT,12,5,MUC,0.392563159
2022:08:06 16:21:59,BT,12,6,MUC,0.443730866
2022:08:06 16:35:29,BT,12,7,MUC,0.74177424
2022:08:06 16:46:44,BT,12,8,MUC,0.814475612
2022:08:06 16:55:15,BT,12,9,MUC,0.839002763
2022:08:06 14:15:44,BT,13,1,NC,0.161451295
2022:08:06 15:26:52,BT,13,10,NC,0.160149169
2022:08:06 14:25:33,BT,13,2,NC,0.143048375
2022:08:06 14:26:53,BT,13,3,NC,0.132028911
2022:08:06 14:37:02,BT,13,4,NC,0.22869625
2022:08:06 14:46:11,BT,13,5,NC,0.087002949
2022:08:06 14:50:36,BT,13,6,NC,0.297405177
2022:08:06 15:13:43,BT,13,7,NC,0.281720691
2022:08:06 15:14:29,BT,13,8,NC,0.199802754
2022:08:06 15:19:54,BT,13,9,NC,0.410787873
2022:08:06 15:25:18,BT,14,1,NC,0.441562752
2022:08:06 16:57:04,BT,14,10,NC,0.49041398
2022:08:06 15:26:46,BT,14,2,NC,0.523009493
2022:08:06 15:45:57,BT,14,3,NC,0.423765285
2022:08:06 15:47:08,BT,14,4,NC,0.171236015
2022:08:06 16:06:24,BT,14,5,NC,0.2740692
2022:08:06 16:08:16,BT,14,6,NC,0.315137604
2022:08:06 16:30:26,BT,14,7,NC,0.314803866
2022:08:06 16:31:06,BT,14,8,NC,0.276494463
2022:08:06 16:55:12,BT,14,9,NC,0.485957777
2022:08:06 18:07:59,BT,15,1,NC,0.077140767
2022:08:06 18:13:01,BT,15,10,CC,0.057615628
2022:08:06 18:11:30,BT,15,2,NC,0.144577345
2022:08:06 18:11:54,BT,15,3,NC,0.076644273
2022:08:06 18:16:44,BT,15,4,NC,0.10735834
2022:08:06 18:17:08,BT,15,5,NC,0.057559284
2022:08:06 18:35:21,BT,15,6,NC,0.079102449
2022:08:06 18:35:43,BT,15,7,NC,0.149443477
2022:08:06 18:30:55,BT,15,8,NC,0.151737175
2022:08:06 18:14:16,BT,15,9,CC,0.101878971
2022:08:06 16:55:46,BT,16,1,NC,0.392887688
2022:08:06 17:45:23,BT,16,10,NC,0.072858704
2022:08:06 16:56:29,BT,16,2,NC,0.462853549
2022:08:06 17:04:06,BT,16,3,NC,0.208139011
2022:08:06 17:11:58,BT,16,4,NC,0.051452399
2022:08:06 17:18:00,BT,16,5,NC,0.120947103
2022:08:06 17:27:32,BT,16,6,NC,0.215877485
2022:08:06 17:31:45,BT,16,7,NC,0.349873534
2022:08:06 17:35:21,BT,16,8,NC,0.044720408
2022:08:06 17:39:18,BT,16,9,NC,0.104225852
2022:08:06 17:39:18,BT,9,1,TM,0.253747939
2022:08:06 17:39:18,BT,9,10,TM,0.306004424
2022:08:06 17:39:18,BT,9,2,TM,0.084783111
2022:08:06 17:39:18,BT,9,3,TM,0.13118995
2022:08:06 17:39:18,BT,9,4,TM,0.125118904
2022:08:06 17:39:18,BT,9,5,TM,0.159005031
2022:08:06 17:39:18,BT,9,6,TM,0.203050642
2022:08:06 17:39:18,BT,9,7,TM,0.223388469
2022:08:06 17:39:18,BT,9,8,TM,0.233551895
2022:08:06 17:39:18,BT,9,9,TM,0.229883056
2022:08:07 10:45:24,PR,17,1,MUC,0.043900633
2022:08:07 11:46:51,PR,17,10,MUC,0.069530101
2022:08:07 10:50:12,PR,17,2,MUC,0.036814388
2022:08:07 10:50:12,PR,17,3,MUC,0.041846186
2022:08:07 11:00:45,PR,17,4,MUC,0.051084907
2022:08:07 11:16:41,PR,17,5,MUC,0.046022908
2022:08:07 11:20:17,PR,17,6,MUC,0.038241374
2022:08:07 11:23:31,PR,17,7,MUC,0.020420384
2022:08:07 11:28:32,PR,17,8,MUC,0.029932689
2022:08:07 11:42:29,PR,17,9,MUC,0.071827328
2022:08:07 10:48:15,PR,18,1,CC,0.110063907
2022:08:07 11:44:09,PR,18,10,CC,0.118221602
2022:08:07 10:49:07,PR,18,2,CC,0.060528256
2022:08:07 10:59:09,PR,18,3,CC,0.122003016
2022:08:07 10:59:38,PR,18,4,CC,0.170158012
2022:08:07 11:11:41,PR,18,5,CC,0.076706026
2022:08:07 11:12:16,PR,18,6,CC,0.137616496
2022:08:07 11:30:37,PR,18,7,CC,0.084886016
2022:08:07 11:31:36,PR,18,8,CC,0.144025138
2022:08:07 11:43:42,PR,18,9,CC,0.132960284
2022:08:07 11:43:42,PR,19,1,TM,0.108918604
2022:08:07 11:43:42,PR,19,10,TM,0.028846594
2022:08:07 11:43:42,PR,19,2,TM,0.074116222
2022:08:07 11:43:42,PR,19,3,TM,0.06902377
2022:08:07 11:43:42,PR,19,4,TM,0.073983063
2022:08:07 11:43:42,PR,19,5,TM,0.0627548
2022:08:07 11:43:42,PR,19,6,TM,0.037207727
2022:08:07 11:43:42,PR,19,7,TM,0.035375366
2022:08:07 11:43:42,PR,19,8,TM,0.059633659
2022:08:07 11:43:42,PR,19,9,TM,0.011575933
2022:08:07 11:15:20,PR,20,1,NC,0.283056788
2022:08:07 11:15:20,PR,20,10,TM,0.063854111
2022:08:07 11:16:44,PR,20,2,NC,0.231225403
2022:08:07 12:13:13,PR,20,3,NC,0.237108188
2022:08:07 12:14:47,PR,20,4,NC,0.121341378
2022:08:07 12:14:47,PR,20,5,MUC,0.359417526
2022:08:07 12:41:15,PR,20,6,MUC,0.16213066
2022:08:07 12:42:42,PR,20,7,NC,0.146964755
2022:08:07 12:42:42,PR,20,8,TM,0.189943402
2022:08:07 12:42:42,PR,20,9,TM,0.146249451
2022:08:07 12:42:42,PR,21,1,TM,0.109668906
2022:08:07 12:42:42,PR,21,10,TM,0.429844372
2022:08:07 12:42:42,PR,21,2,TM,0.07779986
2022:08:07 12:42:42,PR,21,3,TM,0.309700312
2022:08:07 12:42:42,PR,21,4,TM,0.105558713
2022:08:07 12:42:42,PR,21,5,TM,0.193278279
2022:08:07 12:42:42,PR,21,6,TM,0.16037164
2022:08:07 12:42:42,PR,21,7,TM,0.130618867
2022:08:07 12:42:42,PR,21,8,TM,0.216615993
2022:08:07 12:42:42,PR,21,9,TM,0.435285489
2022:08:07 14:50:10,PR,22,1,MUC,0.043220192
2022:08:07 16:56:58,PR,22,10,MUC,0.195222788
2022:08:07 15:03:29,PR,22,2,MUC,0.147391634
2022:08:07 15:47:31,PR,22,3,MUC,0.353725895
2022:08:07 15:46:45,PR,22,4,MUC,0.091848837
2022:08:07 15:46:03,PR,22,5,MUC,0.087039038
2022:08:07 16:07:04,PR,22,6,MUC,0.156430036
2022:08:07 16:07:04,PR,22,7,MUC,0.092190053
2022:08:07 16:40:22,PR,22,8,MUC,0.13617635
2022:08:07 16:56:49,PR,22,9,MUC,0.106079674
2022:08:07 15:19:40,PR,23,1,NC,0.108080725
2022:08:07 16:30:01,PR,23,10,NC,0.132936414
2022:08:07 15:20:32,PR,23,2,NC,0.300807949
2022:08:07 15:34:17,PR,23,3,NC,0.088789474
2022:08:07 15:34:54,PR,23,4,NC,0.038379344
2022:08:07 15:44:52,PR,23,5,NC,0.02243053
2022:08:07 15:50:13,PR,23,6,CC,0.067423298
2022:08:07 16:15:19,PR,23,7,NC,0.048246633
2022:08:07 16:16:07,PR,23,8,NC,0.043836934
2022:08:07 16:29:24,PR,23,9,NC,0.034809287
2022:08:07 15:21:53,PR,24,1,NC,0.556791311
2022:08:07 16:44:21,PR,24,10,NC,0.247323541
2022:08:07 15:22:29,PR,24,2,NC,0.235710294
2022:08:07 15:40:57,PR,24,3,NC,0.30095405
2022:08:07 15:41:40,PR,24,4,NC,0.137682897
2022:08:07 16:09:12,PR,24,5,NC,0.302430425
2022:08:07 16:10:49,PR,24,6,NC,0.093076709
2022:08:07 16:27:02,PR,24,7,NC,0.200890532
2022:08:07 16:28:03,PR,24,8,NC,0.146784157
2022:08:07 16:43:47,PR,24,9,NC,0.248839088
2022:08:05 10:35:58,TM,1,1,CC,0.138070484
2022:08:05 14:02:48,TM,1,10,CC,0.164319479
2022:08:05 11:10:47,TM,1,2,CC,0.042472539
2022:08:05 11:24:51,TM,1,3,CC,0.100539375
2022:08:05 11:46:51,TM,1,4,CC,0.183983265
2022:08:05 11:58:35,TM,1,5,CC,0.070950247
2022:08:05 12:09:08,TM,1,6,CC,0.022701899
2022:08:05 12:16:47,TM,1,7,CC,0.022237694
2022:08:05 12:36:11,TM,1,8,CC,0.026082914
2022:08:05 12:58:38,TM,1,9,CC,0.032958059
2022:08:05 12:58:38,TM,2,1,TM,0.300258754
2022:08:05 12:58:38,TM,2,10,TM,0.238357131
2022:08:05 12:58:38,TM,2,2,TM,0.253003943
2022:08:05 12:58:38,TM,2,3,TM,0.212953158
2022:08:05 12:58:38,TM,2,4,TM,0.180711105
2022:08:05 12:58:38,TM,2,5,TM,0.177359643
2022:08:05 12:58:38,TM,2,6,TM,0.312572685
2022:08:05 12:58:38,TM,2,7,TM,0.17620731
2022:08:05 12:58:38,TM,2,8,TM,0.225204642
2022:08:05 12:58:38,TM,2,9,TM,0.218429162
2022:08:08 09:17:44,TM,25,1,MUC,0.026472734
2022:08:08 11:07:01,TM,25,10,MUC,0.021964147
2022:08:08 09:24:13,TM,25,2,MUC,0.024748755
2022:08:08 09:40:03,TM,25,3,MUC,0.193188048
2022:08:08 09:53:35,TM,25,4,MUC,0.118240622
2022:08:08 10:07:35,TM,25,5,MUC,0.07345597
2022:08:08 10:15:44,TM,25,6,MUC,0.149732175
2022:08:08 10:35:44,TM,25,7,MUC,0.105181743
2022:08:08 10:51:42,TM,25,8,MUC,0.138463797
2022:08:08 10:51:42,TM,25,9,MUC,0.096492855
2022:08:08 10:51:42,TM,26,1,TM,0.319498724
2022:08:08 11:17:02,TM,26,10,MUC,0.416520144
2022:08:08 11:17:02,TM,26,2,TM,0.340732299
2022:08:08 11:17:02,TM,26,3,TM,0.221363915
2022:08:08 11:17:02,TM,26,4,TM,0.303008754
2022:08:08 11:17:02,TM,26,5,TM,0.344318036
2022:08:08 11:17:02,TM,26,6,TM,0.286855928
2022:08:08 11:17:02,TM,26,7,TM,0.276260337
2022:08:08 11:17:02,TM,26,8,TM,0.213603553
2022:08:08 11:17:02,TM,26,9,TM,0.38401511
2022:08:08 09:41:51,TM,27,1,CC,0.025661896
2022:08:08 11:35:40,TM,27,10,CC,0.075888822
2022:08:08 09:43:46,TM,27,2,CC,0.011335988
2022:08:08 10:06:01,TM,27,3,CC,0.012387862
2022:08:08 10:06:34,TM,27,4,CC,0.009329374
2022:08:08 10:33:55,TM,27,5,CC,0.084219505
2022:08:08 10:35:03,TM,27,6,CC,0.403754919
2022:08:08 11:08:53,TM,27,7,CC,0.547490508
2022:08:08 11:10:11,TM,27,8,CC,0.04883206
2022:08:08 11:34:42,TM,27,9,CC,0.01486242
2022:08:08 09:57:34,TM,28,1,NC,0.313263276
2022:08:08 11:49:20,TM,28,10,MUC,0.332099446
2022:08:08 09:58:12,TM,28,2,NC,0.310731969
2022:08:08 10:41:04,TM,28,3,NC,0.297272067
2022:08:08 10:41:39,TM,28,4,NC,0.243127332
2022:08:08 11:18:06,TM,28,5,NC,0.155392844
2022:08:08 11:18:39,TM,28,6,NC,0.339393213
2022:08:08 11:35:11,TM,28,7,NC,0.580930082
2022:08:08 11:36:00,TM,28,8,NC,0.319873047
2022:08:08 11:36:00,TM,28,9,TM,0.151658443
2022:08:05 11:29:41,TM,3,1,NC,0.387384905
2022:08:05 12:41:23,TM,3,10,NC,0.143084135
2022:08:05 11:57:37,TM,3,2,NC,0.206941196
2022:08:05 12:04:09,TM,3,3,NC,0.076746047
2022:08:05 12:08:49,TM,3,4,NC,0.087793554
2022:08:05 12:13:03,TM,3,5,NC,0.08487084
2022:08:05 12:14:14,TM,3,6,NC,0.082604708
2022:08:05 12:20:08,TM,3,7,NC,0.202408382
2022:08:05 12:27:57,TM,3,8,NC,0.270298632
2022:08:05 12:37:21,TM,3,9,NC,0.376077425
2022:08:05 15:18:26,TM,4,1,CC,0.270792225
2022:08:05 17:09:34,TM,4,10,NC,0.630596591
2022:08:05 15:34:48,TM,4,2,NC,0.441677632
2022:08:05 15:35:51,TM,4,3,NC,0.598622287
2022:08:05 15:57:12,TM,4,4,NC,0.489662367
2022:08:05 16:32:58,TM,4,6,NC,0.495284177
2022:08:05 16:33:41,TM,4,7,NC,0.487761997
2022:08:05 16:57:08,TM,4,8,NC,0.488149429
2022:08:05 16:58:20,TM,4,9,NC,0.569821027
2022:08:05 16:27:40,TM,5,1,MUC,0.085822697
2022:08:05 19:03:19,TM,5,10,MUC,0.295068113
2022:08:05 16:39:47,TM,5,2,MUC,0.046257078
2022:08:05 16:54:05,TM,5,3,MUC,0.095214777
2022:08:05 17:07:10,TM,5,4,MUC,0.144627619
2022:08:05 17:27:09,TM,5,5,MUC,0.362500391
2022:08:05 17:52:20,TM,5,6,MUC,0.156239203
2022:08:05 18:04:10,TM,5,7,MUC,0.169932121
2022:08:05 18:24:16,TM,5,8,MUC,0.317568857
2022:08:05 18:42:34,TM,5,9,MUC,0.279262514
2022:08:05 14:37:13,TM,6,1,NC,0.408028864
2022:08:05 16:35:28,TM,6,10,NC,0.414355626
2022:08:05 14:37:48,TM,6,2,NC,0.356773966
2022:08:05 15:05:05,TM,6,3,NC,0.325628064
2022:08:05 15:25:32,TM,6,4,NC,0.350164721
2022:08:05 15:34:35,TM,6,5,NC,0.495729944
2022:08:05 15:35:35,TM,6,6,NC,0.557001924
2022:08:05 15:51:45,TM,6,7,NC,0.558869485
2022:08:05 15:52:47,TM,6,8,NC,0.495801958
2022:08:05 16:05:16,TM,6,9,NC,0.534857253
2022:08:05 17:12:30,TM,7,1,NC,0.20451402
2022:08:05 19:08:53,TM,7,10,NC,0.157405885
2022:08:05 17:34:24,TM,7,2,NC,0.055893292
2022:08:05 18:06:01,TM,7,3,NC,0.219043422
2022:08:05 18:06:52,TM,7,4,NC,0.116405079
2022:08:05 18:24:15,TM,7,5,NC,0.048518319
2022:08:05 18:42:58,TM,7,6,NC,0.013685385
2022:08:05 18:50:09,TM,7,7,NC,0.048817031
2022:08:05 19:00:50,TM,7,8,NC,0.065340909
2022:08:05 19:08:33,TM,7,9,NC,0.017603135
2022:08:05 17:56:58,TM,8,1,CC,0.25971048
2022:08:06 10:39:13,TM,8,10,CC,0.325908771
2022:08:05 18:41:41,TM,8,2,CC,0.301489993
2022:08:05 18:42:21,TM,8,3,CC,0.257311522
2022:08:05 19:06:14,TM,8,4,CC,0.207947019
2022:08:06 09:38:20,TM,8,5,CC,0.165240261
2022:08:06 09:39:20,TM,8,6,CC,0.173431374
2022:08:06 10:03:31,TM,8,7,CC,0.248145544
2022:08:06 10:04:30,TM,8,8,CC,0.284412468
2022:08:06 10:38:36,TM,8,9,CC,0.288124476
